# time_ps largest_cluster_rg_nm
3394000.000000 5.7370202325
3395000.000000 4.4021632390
3396000.000000 5.6836482381
3397000.000000 4.9621097244
3398000.000000 5.8224709206
3399000.000000 5.7885569677
3400000.000000 7.4064796046
3401000.000000 5.3181637945
3402000.000000 4.1057828768
3403000.000000 4.8437853068
3404000.000000 5.1525109712
3405000.000000 4.7340924660
3406000.000000 5.5738399573
3407000.000000 6.0113153375
3408000.000000 3.7881393432
3409000.000000 6.3590400892
3410000.000000 10.4508254061
3411000.000000 3.2944792885
3412000.000000 4.9679801159
3413000.000000 4.4114260171
3414000.000000 9.5668893044
3415000.000000 5.5434672350
3416000.000000 5.3977975952
3417000.000000 8.7313639253
3418000.000000 4.5554555966
3419000.000000 4.7719141509
3420000.000000 7.2006675778
3421000.000000 6.6195861183
3422000.000000 5.5396471045
3423000.000000 4.5805653405
3424000.000000 4.0078504450
3425000.000000 5.5137227916
3426000.000000 5.2547452182
3427000.000000 5.6663702052
3428000.000000 6.8317359701
3429000.000000 7.2351227091
3430000.000000 7.2942222261
3431000.000000 6.6863891014
3432000.000000 5.7168654052
3433000.000000 5.1560674818
3434000.000000 5.8770167405
3435000.000000 4.8913528166
3436000.000000 7.6916638270
3437000.000000 6.5214450519
3438000.000000 7.2407890366
3439000.000000 12.2799144873
3440000.000000 4.1255380388
3441000.000000 9.6645270424
3442000.000000 5.3246340279
3443000.000000 3.5694580106
3444000.000000 6.0638304122
3445000.000000 5.1937920380
3446000.000000 5.2576839838
3447000.000000 6.7437707872
3448000.000000 6.3882001642
3449000.000000 6.1065213323
3450000.000000 6.8090944228
3451000.000000 6.3511187249
3452000.000000 5.3511011306
3453000.000000 9.9227023728
3454000.000000 12.3120464913
3455000.000000 7.2021925163
3456000.000000 6.1906066584
3457000.000000 13.2490807485
3458000.000000 11.6624846201
3459000.000000 11.3248220143
3460000.000000 7.1015508886
3461000.000000 6.7460238633
3462000.000000 5.7336693999
3463000.000000 5.6699250343
3464000.000000 4.8190743651
3465000.000000 5.7625930778
3466000.000000 4.4809592488
3467000.000000 5.1594744073
3468000.000000 5.2690385515
3469000.000000 5.2823226072
3470000.000000 5.2124531351
3471000.000000 4.9986371269
3472000.000000 6.6120580749
3473000.000000 5.4694213145
3474000.000000 5.3912457549
3475000.000000 5.6384978095
3476000.000000 6.0690440079
3477000.000000 5.6975697251
3478000.000000 3.5476174319
3479000.000000 7.3592428402
3480000.000000 8.0877527265
3481000.000000 5.6140474485
3482000.000000 3.9281517502
3483000.000000 4.6561325100
3484000.000000 4.7784642687
3485000.000000 4.8093532792
3486000.000000 5.4732883819
3487000.000000 5.0830121140
3488000.000000 4.6496364950
3489000.000000 5.4387272676
3490000.000000 5.0984605113
3491000.000000 12.5048442538
3492000.000000 5.1440889638
3493000.000000 5.0096929952
3494000.000000 5.3112004446
3495000.000000 3.5028110075
3496000.000000 3.7979995539
3497000.000000 3.1499827078
3498000.000000 4.4866961528
3499000.000000 4.7733999148
3500000.000000 4.4425814884
3501000.000000 4.6331220439
3502000.000000 5.4410997455
3503000.000000 2.9396595118
3504000.000000 6.7796904807
3505000.000000 4.6685358898
3506000.000000 4.7072995232
3507000.000000 12.0544542208
3508000.000000 5.4427678338
3509000.000000 4.5085903128
3510000.000000 4.5706044863
3511000.000000 4.5952224450
3512000.000000 5.3403735391
3513000.000000 6.2117293158
3514000.000000 5.4210354665
3515000.000000 4.1931728700
3516000.000000 8.6818454125
3517000.000000 7.8795851292
3518000.000000 5.2750521013
3519000.000000 6.9953820266
3520000.000000 5.4690251404
3521000.000000 5.5157758184
3522000.000000 6.0039028181
3523000.000000 4.6607452014
3524000.000000 4.8225070584
3525000.000000 4.0600298209
3526000.000000 4.9430332003
3527000.000000 3.9134192364
3528000.000000 5.2276949206
3529000.000000 7.0757479593
3530000.000000 6.0838708591
3531000.000000 5.5609916275
3532000.000000 6.5812974110
3533000.000000 7.5945966912
3534000.000000 7.1688866759
3535000.000000 5.1491973123
3536000.000000 13.6611596891
3537000.000000 4.1548216840
3538000.000000 4.4606274586
3539000.000000 4.8961876030
3540000.000000 4.9389204893
3541000.000000 4.9176707798
3542000.000000 5.5667895852
3543000.000000 5.5729017926
3544000.000000 5.4300486836
3545000.000000 5.2385726444
3546000.000000 4.9602492213
3547000.000000 5.9103617311
3548000.000000 5.2999967241
3549000.000000 7.0200366178
3550000.000000 6.6398742864
3551000.000000 5.5442831713
3552000.000000 5.2082031015
3553000.000000 6.6139594622
3554000.000000 6.3123050411
3555000.000000 6.5192047408
3556000.000000 4.8023187586
3557000.000000 8.9189640345
3558000.000000 5.5722565566
3559000.000000 5.4755058216
3560000.000000 3.7814133613
3561000.000000 5.5722235966
3562000.000000 7.8108939733
3563000.000000 6.7452517123
3564000.000000 9.3014225288
3565000.000000 5.0360864297
3566000.000000 5.6361974972
3567000.000000 5.3796833905
3568000.000000 5.9433008004
3569000.000000 5.0873338393
3570000.000000 4.3531078871
3571000.000000 7.1007576567
3572000.000000 6.3319804125
3573000.000000 6.1838132335
3574000.000000 5.1713557200
3575000.000000 5.4524504289
3576000.000000 5.6121737765
3577000.000000 5.2449956585
3578000.000000 6.0397332036
3579000.000000 7.0341341491
3580000.000000 5.1103826711
3581000.000000 7.4425213759
3582000.000000 9.6757762728
3583000.000000 7.1641145357
3584000.000000 5.5290199625
3585000.000000 6.7173725001
3586000.000000 8.2750957084
3587000.000000 6.9696108150
3588000.000000 4.8246423447
3589000.000000 5.0907963591
3590000.000000 8.7733436711
3591000.000000 6.6069987768
3592000.000000 7.2315199988
3593000.000000 4.5777116619
3594000.000000 4.2064585742
3595000.000000 5.2071379118
3596000.000000 6.3006856728
3597000.000000 5.8999828089
3598000.000000 4.0490351073
3599000.000000 2.8858383050
3600000.000000 3.5761681202
3601000.000000 7.5024786353
3602000.000000 7.4854969194
3603000.000000 11.0468860359
3604000.000000 7.0505650157
3605000.000000 12.5372528725
3606000.000000 8.0957929435
3607000.000000 6.3268362187
3608000.000000 5.9057027924
3609000.000000 13.7104380861
3610000.000000 14.4705410976
3611000.000000 5.8961494698
3612000.000000 7.5429093314
3613000.000000 11.3785845509
3614000.000000 8.6986422195
3615000.000000 9.1241117195
3616000.000000 10.2912981921
3617000.000000 8.1904791116
3618000.000000 6.1602326593
3619000.000000 6.3124048753
3620000.000000 7.2821206007
3621000.000000 7.7836639118
3622000.000000 10.3932612865
3623000.000000 6.9406853452
3624000.000000 5.5610114752
3625000.000000 7.7608334266
3626000.000000 10.6257271540
3627000.000000 7.6300148532
3628000.000000 10.2369462576
3629000.000000 7.5864857935
3630000.000000 6.2640535187
3631000.000000 6.7892972600
3632000.000000 7.1219284727
3633000.000000 7.6274814805
3634000.000000 7.9445016566
3635000.000000 6.8110059092
3636000.000000 5.2901999034
3637000.000000 9.1936107028
3638000.000000 13.5205496478
3639000.000000 6.5680423650
3640000.000000 4.4027160921
3641000.000000 8.0876265597
3642000.000000 2.9219743707
3643000.000000 6.6676959760
3644000.000000 7.6162781752
3645000.000000 7.0525896716
3646000.000000 4.2008476693
3647000.000000 5.7061514645
3648000.000000 7.1787887156
3649000.000000 4.8691361528
3650000.000000 10.3209073766
3651000.000000 5.1999232612
3652000.000000 6.7227745321
3653000.000000 7.2197277110
3654000.000000 6.3191640797
3655000.000000 6.9221585991
3656000.000000 8.1395559565
3657000.000000 4.2568957152
3658000.000000 12.6183891834
3659000.000000 7.8363838998
3660000.000000 5.7352393030
3661000.000000 6.3413767038
3662000.000000 2.8158163620
3663000.000000 7.7592534366
3664000.000000 6.2057285564
3665000.000000 7.8835787637
3666000.000000 6.7800611047
3667000.000000 7.4930025255
3668000.000000 7.2351138531
3669000.000000 7.0888167274
3670000.000000 5.6760508117
3671000.000000 8.8340059407
3672000.000000 6.8728311569
3673000.000000 8.0688755672
3674000.000000 8.1269281024
3675000.000000 4.7785057470
3676000.000000 12.3038287134
3677000.000000 15.5198155799
3678000.000000 6.9613291107
3679000.000000 8.0056592348
3680000.000000 7.4857620224
3681000.000000 7.0565338687
3682000.000000 11.9918638485
3683000.000000 6.0419870538
3684000.000000 8.2288928572
3685000.000000 8.7412708732
3686000.000000 7.1424954071
3687000.000000 6.3164256644
3688000.000000 7.6506287628
3689000.000000 7.4785853974
3690000.000000 10.1719232555
3691000.000000 8.3972991310
3692000.000000 8.3582508379
3693000.000000 7.6685237459
3694000.000000 6.3597036344
3695000.000000 5.6942234936
3696000.000000 5.2162122292
3697000.000000 4.8558585855
3698000.000000 13.4885370838
3699000.000000 7.8259020860
3700000.000000 7.6822689275
3701000.000000 9.9910796831
3702000.000000 13.7709238335
3703000.000000 11.9038917129
3704000.000000 8.9257613566
3705000.000000 7.9407756689
3706000.000000 6.1745556625
3707000.000000 6.9547070703
3708000.000000 6.8626710541
3709000.000000 10.3830642148
3710000.000000 6.3189320801
3711000.000000 7.7325016294
3712000.000000 7.6946066325
3713000.000000 5.6524027500
3714000.000000 4.8395429906
3715000.000000 10.0547925726
3716000.000000 6.1807510968
3717000.000000 7.6789369022
3718000.000000 6.0574903472
3719000.000000 5.6015874495
3720000.000000 5.2758661931
3721000.000000 9.3324117870
3722000.000000 6.1446927120
3723000.000000 5.7821957312
3724000.000000 2.6521270058
3725000.000000 3.7792845269
3726000.000000 10.6165227053
3727000.000000 4.7273528727
3728000.000000 4.8801110429
3729000.000000 5.5743036866
3730000.000000 6.3105090641
3731000.000000 4.7399769004
3732000.000000 4.5934986670
3733000.000000 5.3074169793
3734000.000000 6.2818843889
3735000.000000 5.0071700816
3736000.000000 6.9673366906
3737000.000000 7.1627859979
3738000.000000 6.7546986767
3739000.000000 9.3672827312
3740000.000000 5.3830375151
3741000.000000 3.6938332523
3742000.000000 4.9054705645
3743000.000000 3.7916515276
3744000.000000 4.7265531987
3745000.000000 3.6086985298
3746000.000000 7.0070855500
3747000.000000 7.8040247788
3748000.000000 6.2801428118
3749000.000000 4.5535751958
3750000.000000 7.2157648421
3751000.000000 5.5466878747
3752000.000000 12.1955290658
3753000.000000 11.1537419714
3754000.000000 4.7723041038
3755000.000000 5.3134115134
3756000.000000 9.7829752423
3757000.000000 6.7444345846
3758000.000000 10.4977132539
3759000.000000 5.9111867307
3760000.000000 6.2489697496
3761000.000000 6.4658247242
3762000.000000 10.1815582695
3763000.000000 10.6038667557
3764000.000000 6.4653152404
3765000.000000 10.2827526944
3766000.000000 7.9017135768
3767000.000000 9.8759687016
3768000.000000 6.7724923794
3769000.000000 7.3143659977
3770000.000000 6.3478200093
3771000.000000 16.1677445566
3772000.000000 7.5609998027
3773000.000000 5.8896134227
3774000.000000 5.2235255052
3775000.000000 6.9394730495
3776000.000000 11.6103177401
3777000.000000 8.5326899143
3778000.000000 8.4296798973
3779000.000000 5.2723703637
3780000.000000 9.6408167811
3781000.000000 12.7874069004
3782000.000000 5.2859402896
3783000.000000 7.1611217717
3784000.000000 6.5326689860
3785000.000000 4.3292218996
3786000.000000 5.8500171244
3787000.000000 9.1498690153
3788000.000000 6.9470335167
3789000.000000 6.4603789700
3790000.000000 5.1014360938
3791000.000000 10.0849178748
3792000.000000 10.8852815858
3793000.000000 9.2173160714
3794000.000000 4.9894995341
3795000.000000 9.1309838527
3796000.000000 7.8430433180
3797000.000000 2.3149004588
3798000.000000 8.6876937006
3799000.000000 8.6242148400
3800000.000000 3.6312296882
3801000.000000 10.5786424991
3802000.000000 8.8706995349
3803000.000000 4.8830437819
3804000.000000 8.1950660568
3805000.000000 9.5334695147
3806000.000000 8.2865272688
3807000.000000 9.1693027891
3808000.000000 9.5241483719
3809000.000000 8.2257657186
3810000.000000 10.4036925890
3811000.000000 7.7517797862
3812000.000000 6.2022487291
3813000.000000 11.7984513790
3814000.000000 7.6986362955
3815000.000000 8.5307716597
3816000.000000 7.9839027853
3817000.000000 8.1073612705
3818000.000000 9.6043132084
3819000.000000 6.5283259894
3820000.000000 6.9044418508
3821000.000000 14.5792808562
3822000.000000 7.6595945054
3823000.000000 8.7074233808
3824000.000000 4.1675405730
3825000.000000 8.4653633993
3826000.000000 9.3997683463
3827000.000000 5.3983156453
3828000.000000 10.1664310602
3829000.000000 6.5518492187
3830000.000000 7.6495584683
3831000.000000 7.1815586228
3832000.000000 7.0816424235
3833000.000000 5.8878176084
3834000.000000 8.6046957033
3835000.000000 7.1714857767
3836000.000000 7.0515362205
3837000.000000 7.6175264958
3838000.000000 8.0217975605
3839000.000000 6.7569223858
3840000.000000 9.1917939629
3841000.000000 7.5875034896
3842000.000000 7.5527170448
3843000.000000 9.2763324377
3844000.000000 8.1464770473
3845000.000000 6.5388309462
3846000.000000 6.2116935298
3847000.000000 6.8818812345
3848000.000000 6.6492133298
3849000.000000 7.2833883039
3850000.000000 11.4506258804
3851000.000000 6.3404163552
3852000.000000 7.9148925729
3853000.000000 7.3411723521
3854000.000000 7.9748786601
3855000.000000 7.7131681889
3856000.000000 12.3501648008
3857000.000000 5.9501308416
3858000.000000 8.1179962528
3859000.000000 9.7691043788
3860000.000000 6.3501213459
3861000.000000 5.9312807499
3862000.000000 5.1793948623
3863000.000000 5.8135829194
3864000.000000 6.7615116816
3865000.000000 5.1362544448
3866000.000000 5.8061288556
3867000.000000 9.5178696518
3868000.000000 6.3209980318
3869000.000000 5.5865673638
3870000.000000 4.4910830654
3871000.000000 5.7027069066
3872000.000000 5.0375883992
3873000.000000 4.4507122881
3874000.000000 5.7751352519
3875000.000000 5.1662994940
3876000.000000 6.5418145072
3877000.000000 3.0373066730
3878000.000000 13.5232564047
3879000.000000 7.9278503416
3880000.000000 8.6872393806
3881000.000000 11.2895448181
3882000.000000 12.5538247437
